Question,(a),(b),(c),(d),Correct Answer,Correct Option
"What will be the output of the following Python code?               
def sayHello():                                                          print('Hello World!') 
sayHello() 
sayHello()","(A)Hmxoo Wrlrv!
Hjhxh Wutmi!
Hqnpn Wqecu!
Naiv","(B)Hdikr Wsbfq!
Hplxy Wsjys!
Hewlv Wtmme!
Noys","(C)Hcxew Wkamr!
Hxayj Wfhco!
Hdbvm Wsget!
Nvkd","(D)Hello World!
Hello World!
Hello World!
None","Hello World!
Hello World!
Hello World!
None",(D)
"""What is the average value of the following Python code snippet?
>>>grade1 = 80
>>>grade2 = 90
>>>""abf""
>>>print((grade1 + grade2) / 2)",(A)85.,(B)73.,(C)76.,(D)26.,85.,(A)
What will be the correct answer for the folowing expression:  (3-17)*9.5/(-12+-8),(A)6.6,(B)8.6,(C)3.0,(D)2.0,6.6,(A)
What will be the correct answer for the folowing expression:  (18/16.1+15)/1.5/-13.4,(A)-0.80,(B)-2.35,(C)-5.95,(D)-8.64,-0.80,(A)
What will be the correct answer for the folowing expression:  (-15-17.6)/(-7*-13+-16+19.2),(A)-6.46,(B)-8.58,(C)-0.34,(D)-4.11,-0.34,(C)
What will be the correct answer for the folowing expression:  -19/-4+10.7/-19--18,(A)23.57,(B)61.09,(C)89.30,(D)22.18,22.18,(D)
What will be the correct answer for the folowing expression:  -10.2**(-13*12)/(-17.3+-9.2/14),(A)2.,(B)0.,(C)4.,(D)9.,0.,(B)
What will be the correct answer for the folowing expression:  (-13--19-12)/1.8,(A)-9.97,(B)-7.36,(C)-1.17,(D)-3.33,-3.33,(D)
What will be the correct answer for the folowing expression:  20.0+2.4/-13*14,(A)14.13,(B)17.41,(C)37.24,(D)37.67,17.41,(B)
What will be the correct answer for the folowing expression:  (20/4.0+2)/-11/6.0,(A)-9.70,(B)-0.10,(C)-7.31,(D)-2.79,-0.10,(B)
What will be the correct answer for the folowing expression:  (18--10.0-14)/20**8/19.4,(A)9.,(B)0.,(C)8.,(D)2.,0.,(B)
What will be the correct answer for the folowing expression:  -6--18/14.4*16.0,(A)91.,(B)14.,(C)72.,(D)68.,14.,(B)
What will be the correct answer for the folowing expression:  (-5--13.5)/(16.5-19*4.1),(A)-8.75,(B)-0.13,(C)-6.75,(D)-9.77,-0.13,(B)
What will be the correct answer for the folowing expression:  (12-16+18)/-11,(A)-2.66,(B)-1.27,(C)-8.46,(D)-5.40,-1.27,(B)
What will be the correct answer for the folowing expression:  -18+-10*-2.0/7,(A)-15.14,(B)-27.26,(C)-52.90,(D)-75.50,-15.14,(A)
What will be the correct answer for the folowing expression:  (5.4+-7--10.1)*(19.4*-19-17.2),(A)-0855.,(B)-6433.,(C)-6630.,(D)-3279.,-3279.,(D)
What will be the correct answer for the folowing expression:  -13*-6*(20+19.2)+-14.3*14.9+17,(A)9639.2,(B)3580.5,(C)0854.5,(D)2861.5,2861.5,(D)
What will be the correct answer for the folowing expression:  17.5-15**-11*(-19.7+5),(A)48.,(B)82.,(C)73.,(D)17.,17.,(D)
What will be the correct answer for the folowing expression:  -15.5-7.1/12.8*16**-12,(A)-62.,(B)-15.,(C)-86.,(D)-17.,-15.,(B)
What will be the correct answer for the folowing expression:  (-4/10/-17.1)**(17.5+11),(A)6.,(B)0.,(C)5.,(D)2.,0.,(B)
What will be the correct answer for the folowing expression:  (-1.0--7/-15.7)/(-19.3/-11--10.2),(A)-4.74,(B)-0.12,(C)-6.65,(D)-4.75,-0.12,(B)
What will be the correct answer for the folowing expression:  8*-6*2,(A)-19,(B)-40,(C)-94,(D)-96,-96,(D)
What will be the correct answer for the folowing expression:  6.4/0.9--7-8,(A)7.50,(B)2.29,(C)6.11,(D)0.59,6.11,(C)
What will be the correct answer for the folowing expression:  (20/8/1.3)**(-4+4),(A)1.,(B)4.,(C)3.,(D)0.,1.,(A)
What will be the correct answer for the folowing expression:  (-18+20+1.8)/(10.2-17-5*-6.7),(A)4.90,(B)7.41,(C)0.14,(D)3.18,0.14,(C)
What will be the correct answer for the folowing expression:  -3/0.1/10*1**13,(A)-4.,(B)-7.,(C)-2.,(D)-3.,-3.,(D)
What will be the correct answer for the folowing expression:  (-10/-17)**8/2**-16/0.5,(A)1878.96,(B)3500.24,(C)9518.19,(D)8176.75,1878.96,(A)
What will be the correct answer for the folowing expression:  (17.4/-2--6)*(-9-7*-16),(A)-749.,(B)-265.,(C)-278.,(D)-390.,-278.,(C)
What will be the correct answer for the folowing expression:  -13.0--14*-14+-13,(A)-084.,(B)-307.,(C)-344.,(D)-222.,-222.,(D)
What will be the correct answer for the folowing expression:  (7.8+1.2/-7)/(-7/11-4--14.2),(A)0.79,(B)8.40,(C)8.93,(D)0.62,0.79,(A)
What will be the correct answer for the folowing expression:  -6.9+(10.2*12)**(4.2/8),(A)2.52,(B)5.57,(C)0.39,(D)3.78,5.57,(B)
What will be the correct answer for the folowing expression:  19/-0.4/-10,(A)2.5,(B)9.0,(C)6.1,(D)4.7,4.7,(D)
What will be the correct answer for the folowing expression:  (-7/-18.1)**(10--13.0),(A)0.,(B)8.,(C)1.,(D)4.,0.,(A)
What will be the correct answer for the folowing expression:  -7*1+(3.9+6)*-6.2**-18,(A)-2.,(B)-7.,(C)-1.,(D)-3.,-7.,(B)
What will be the correct answer for the folowing expression:  -15.2--13.6-20+5.7/10.3,(A)-43.80,(B)-21.04,(C)-88.83,(D)-05.01,-21.04,(B)
What will be the correct answer for the folowing expression:  (-8*17/16.3)**-8,(A)6.,(B)3.,(C)4.,(D)0.,0.,(D)
What will be the correct answer for the folowing expression:  -16**-16/(6.7**-16-9.2*-12),(A)-5.,(B)-8.,(C)-0.,(D)-2.,-0.,(C)
What will be the correct answer for the folowing expression:  (7+15.3-14/-7)*14.7/-13/-14,(A)1.96,(B)4.14,(C)3.56,(D)9.99,1.96,(A)
What will be the correct answer for the folowing expression:  -3.2+11/-6/-19.8*-18,(A)-4.86,(B)-8.82,(C)-0.23,(D)-0.81,-4.86,(A)
What will be the correct answer for the folowing expression:  2/-11.5/(-3-6-10.3/11),(A)1.01,(B)6.77,(C)5.39,(D)0.01,0.01,(D)
What will be the correct answer for the folowing expression:  11.0/(4.8--8.9)*10,(A)8.02,(B)3.81,(C)0.69,(D)1.90,8.02,(A)
What will be the correct answer for the folowing expression:  (-13+-5+16)/(16.1/-2.0+-10.1),(A)1.1,(B)2.4,(C)0.0,(D)0.1,0.1,(D)
What will be the correct answer for the folowing expression:  -15.5/15/14/-17.3,(A)0.00,(B)5.60,(C)9.30,(D)8.09,0.00,(A)
What will be the correct answer for the folowing expression:  (18--2.1)/(16--1)*15/-7/15.1,(A)-0.16,(B)-1.17,(C)-0.50,(D)-0.05,-0.16,(A)
What will be the correct answer for the folowing expression:  (-18.0/-15.5+-11.5)/18,(A)-3.71,(B)-5.80,(C)-0.57,(D)-7.98,-0.57,(C)
What will be the correct answer for the folowing expression:  (2.6+9)/(2+-4.9)/15.7*-13.4,(A)8.59,(B)3.41,(C)0.76,(D)4.61,3.41,(B)
What will be the correct answer for the folowing expression:  -12*0.7+9.8/-17.1*-5,(A)-9.55,(B)-8.43,(C)-5.53,(D)-5.24,-5.53,(C)
What will be the correct answer for the folowing expression:  7+-7.2/-0.8+3.6**(-2.5/15),(A)07.54,(B)26.64,(C)16.80,(D)65.75,16.80,(C)
What will be the correct answer for the folowing expression:  16/-13/-10.1--2+-14--13,(A)3.84,(B)1.12,(C)5.53,(D)4.86,1.12,(B)
What will be the correct answer for the folowing expression:  (-1.3+-19.1)/20/12.2+3.9,(A)8.18,(B)5.81,(C)3.81,(D)9.21,3.81,(C)
What will be the correct answer for the folowing expression:  (-18+-2.3)*2*13/(15.1+2.4/17),(A)-74.1,(B)-34.6,(C)-28.4,(D)-21.7,-34.6,(B)
What will be the correct answer for the folowing expression:  -4.8/(-16/3.1-13.8/-10.8),(A)1.23,(B)6.53,(C)9.57,(D)4.05,1.23,(A)
What will be the correct answer for the folowing expression:  17.8/-19/(20/6.3-20),(A)0.05,(B)7.15,(C)3.57,(D)7.91,0.05,(A)
What will be the correct answer for the folowing expression:  14.5-7*10.0--9--8.6+-1,(A)-47.,(B)-44.,(C)-38.,(D)-88.,-38.,(C)
What will be the correct answer for the folowing expression:  -17.3--18.6--17.6**(0/-14.5),(A)2.,(B)8.,(C)4.,(D)1.,2.,(A)
What will be the correct answer for the folowing expression:  14.8/-6*-5.4--10.2/(17.3--7),(A)62.4,(B)13.7,(C)40.9,(D)54.8,13.7,(B)
What will be the correct answer for the folowing expression:  -3/14*4+-6.0/18,(A)-0.2,(B)-1.1,(C)-5.8,(D)-6.8,-1.1,(B)
What will be the correct answer for the folowing expression:  5.9/-1.8--1+-16.7/(18-13),(A)-5.61,(B)-9.90,(C)-6.58,(D)-7.07,-5.61,(A)
What will be the correct answer for the folowing expression:  (-4/-4/(19+-4.9))**(20+0--19/5),(A)0.,(B)4.,(C)8.,(D)3.,0.,(A)
What will be the correct answer for the folowing expression:  -19/(8--7--10),(A)-5.8,(B)-0.7,(C)-1.8,(D)-7.5,-0.7,(B)
What will be the correct answer for the folowing expression:  -15.3/6/10.2-9**-9--18+-6,(A)67.7,(B)11.7,(C)12.6,(D)66.3,11.7,(B)
What will be the correct answer for the folowing expression:  -4.8+-0.2,(A)-1.,(B)-5.,(C)-7.,(D)-8.,-5.,(B)
What will be the correct answer for the folowing expression:  (-1/11)**(-9+15.0)--12.5*1,(A)12.,(B)32.,(C)36.,(D)78.,12.,(A)
What will be the correct answer for the folowing expression:  -16/(14--15.8)/(-2-2.9)/6.8/4,(A)0.00,(B)2.54,(C)6.99,(D)3.15,0.00,(A)
What will be the correct answer for the folowing expression:  19/9*(-19.7/16.3--10.6),(A)51.76,(B)13.71,(C)24.41,(D)19.82,19.82,(D)
What will be the correct answer for the folowing expression:  7**(-7-11)*(14.2+10+-11--10),(A)4.,(B)6.,(C)0.,(D)1.,0.,(C)
What will be the correct answer for the folowing expression:  6*17.4/12/(2/-1-17.1),(A)-0.42,(B)-8.23,(C)-9.68,(D)-0.45,-0.45,(D)
What will be the correct answer for the folowing expression:  17.6*16*-8/3+0.3/13.4-15,(A)-519.60,(B)-765.91,(C)-102.86,(D)-803.46,-765.91,(B)
What will be the correct answer for the folowing expression:  -12*15.6-(1+9.4)/-15/-5,(A)-101.31,(B)-393.17,(C)-813.88,(D)-187.33,-187.33,(D)
What will be the correct answer for the folowing expression:  -13.7/-1/(-9.9-19)/(15.1+-15/6),(A)-4.82,(B)-9.94,(C)-1.61,(D)-0.03,-0.03,(D)
What will be the correct answer for the folowing expression:  -18/4**17.5+-14/2/-0.2/2,(A)55.,(B)35.,(C)26.,(D)17.,17.,(D)
What will be the correct answer for the folowing expression:  -2*18*2.1/-15,(A)7.2,(B)5.0,(C)1.7,(D)8.6,5.0,(B)
What will be the correct answer for the folowing expression:  19.7/-3/13/(19.6+-17--9.8),(A)-3.62,(B)-4.92,(C)-8.61,(D)-0.04,-0.04,(D)
What will be the correct answer for the folowing expression:  12/-19.5/-5.3+-20--10+18-7,(A)2.93,(B)2.96,(C)1.11,(D)1.07,1.11,(C)
What will be the correct answer for the folowing expression:  6**-1.9**7/14**-4.5/-15.1*-3,(A)8.,(B)3.,(C)0.,(D)6.,0.,(C)
What will be the correct answer for the folowing expression:  (18+-17.6--2)**(-12.0-18+-6),(A)1.,(B)8.,(C)2.,(D)0.,0.,(D)
What will be the correct answer for the folowing expression:  -19.7*(-1*-0.1+2.6),(A)-20.0,(B)-32.3,(C)-53.1,(D)-57.3,-53.1,(C)
What will be the correct answer for the folowing expression:  -6.3/-7/(18.4+-15.5),(A)7.3,(B)2.5,(C)0.3,(D)7.5,0.3,(C)
What will be the correct answer for the folowing expression:  -17/-16.1/-13/(-16.0--14.1+-0.8),(A)8.8,(B)3.9,(C)0.0,(D)2.9,0.0,(C)
What will be the correct answer for the folowing expression:  -19+-9.2+1-19/(5+-3.7),(A)-55.58,(B)-41.81,(C)-68.78,(D)-14.29,-41.81,(B)
What will be the correct answer for the folowing expression:  (7.0+1.6)/12*(20*-19+-12),(A)-603.04,(B)-897.58,(C)-280.93,(D)-796.31,-280.93,(C)
What will be the correct answer for the folowing expression:  (4+3.8)*(20--10)/(-10+2),(A)-29.2,(B)-15.1,(C)-75.3,(D)-82.8,-29.2,(A)
What will be the correct answer for the folowing expression:  (-19.5-9)*-17/15**(6/5.8),(A)29.4,(B)41.2,(C)39.1,(D)77.5,29.4,(A)
What will be the correct answer for the folowing expression:  (1*18.2+-7)*-5.4/14.8,(A)-0.38,(B)-4.08,(C)-7.69,(D)-4.45,-4.08,(B)
What will be the correct answer for the folowing expression:  -7.4--6.8*-0.4+-17.7,(A)-27.8,(B)-17.4,(C)-25.4,(D)-06.6,-27.8,(A)
What will be the correct answer for the folowing expression:  (4+12--1.6)/19.3*4.5*-11,(A)-83.2,(B)-45.1,(C)-21.1,(D)-59.8,-45.1,(B)
What will be the correct answer for the folowing expression:  -13+4.3-2-9.1/-5,(A)-3.1,(B)-8.8,(C)-0.3,(D)-5.5,-8.8,(B)
What will be the correct answer for the folowing expression:  (10+-15.3+19.3/7.1)*-10/-5.7,(A)-4.08,(B)-4.52,(C)-8.14,(D)-6.61,-4.52,(B)
What will be the correct answer for the folowing expression:  -20*-5.4/-5.6/-17,(A)9.77,(B)0.86,(C)5.29,(D)1.13,1.13,(D)
What will be the correct answer for the folowing expression:  6--11+5--10.7--0.5,(A)32.,(B)33.,(C)11.,(D)24.,33.,(B)
What will be the correct answer for the folowing expression:  -8/18.7/(-6.5--11+15),(A)-5.15,(B)-8.25,(C)-8.47,(D)-0.02,-0.02,(D)
What will be the correct answer for the folowing expression:  -2.1-15.3/(11--5.7),(A)-5.91,(B)-3.68,(C)-3.01,(D)-5.31,-3.01,(C)
What will be the correct answer for the folowing expression:  -15.18*-84.48,(A)7538.03,(B)1282.40,(C)8553.27,(D)4346.52,1282.40,(B)
What will be the correct answer for the folowing expression:  64.47/94.41/89.27/49.62*-26.01,(A)-0.00,(B)-7.77,(C)-0.97,(D)-9.15,-0.00,(A)
What will be the correct answer for the folowing expression:  (-18.24+13.69/34.18)*(-71.24+-52.21),(A)0453.07,(B)0729.75,(C)2183.59,(D)2202.28,2202.28,(D)
What will be the correct answer for the folowing expression:  59.23/(48.42--85.97),(A)0.44,(B)1.12,(C)4.39,(D)4.43,0.44,(A)
What will be the correct answer for the folowing expression:  -17.23/-82.85*-10.72/90.33*24.17,(A)-0.59,(B)-9.38,(C)-8.16,(D)-6.67,-0.59,(A)
What will be the correct answer for the folowing expression:  (-21.77/-37.45*65.0)**-78.37,(A)1.,(B)9.,(C)5.,(D)0.,0.,(D)
What will be the correct answer for the folowing expression:  -32.98/42.12/16.82--65.71/-90.22,(A)-9.34,(B)-0.45,(C)-0.77,(D)-0.61,-0.77,(C)
What will be the correct answer for the folowing expression:  -64.49/58.26/65.13/(30.9--80.04),(A)-4.,(B)-3.,(C)-0.,(D)-6.,-0.,(C)
What will be the correct answer for the folowing expression:  76.82/1.93/43.16/61.37/-96.51,(A)-0.,(B)-8.,(C)-4.,(D)-9.,-0.,(A)
What will be the correct answer for the folowing expression:  6.94**(92.13/79.58),(A)8.6,(B)8.7,(C)9.4,(D)3.1,9.4,(C)
What will be the correct answer for the folowing expression:  -46.07+54.93/-17.89*-2.54,(A)-36.48,(B)-55.79,(C)-38.27,(D)-31.54,-38.27,(C)
What will be the correct answer for the folowing expression:  (47.25+-20.19-31.34)/54.92,(A)-0.07,(B)-0.90,(C)-8.57,(D)-8.64,-0.07,(A)
What will be the correct answer for the folowing expression:  -6.03/(-6.39-46.15+82.29**-38.76),(A)7.95,(B)1.02,(C)0.11,(D)9.51,0.11,(C)
What will be the correct answer for the folowing expression:  25.89/-17.5*77.26/-13.42,(A)8.51,(B)1.90,(C)6.93,(D)8.89,8.51,(A)
What will be the correct answer for the folowing expression:  (-73.78+-37.34)*-80.69/94.38,(A)38.64,(B)95.00,(C)06.48,(D)00.74,95.00,(B)
What will be the correct answer for the folowing expression:  -67.8/46.65*-12.66*8.7*-90.92,(A)-14554.2,(B)-03624.3,(C)-51951.8,(D)-91662.9,-14554.2,(A)
What will be the correct answer for the folowing expression:  7.39/-25.1*71.28/26.86/69.32,(A)-1.61,(B)-0.01,(C)-7.10,(D)-5.72,-0.01,(B)
What will be the correct answer for the folowing expression:  71.55/(24.84--77.27+89.15),(A)0.68,(B)7.76,(C)5.08,(D)0.37,0.37,(D)
What will be the correct answer for the folowing expression:  -71.48+98.14**-5.52-22.83,(A)-15.1,(B)-15.2,(C)-46.0,(D)-94.3,-94.3,(D)
What will be the correct answer for the folowing expression:  (6.81--9.22)*81.59--40.66,(A)5311.69,(B)5948.40,(C)5669.07,(D)1348.54,1348.54,(D)
What will be the correct answer for the folowing expression:  66.13+72.27,(A)124.,(B)244.,(C)138.,(D)424.,138.,(C)
What will be the correct answer for the folowing expression:  -78.5*(-15.26-3.74)/26.83,(A)55.59,(B)35.68,(C)96.57,(D)24.65,55.59,(A)
What will be the correct answer for the folowing expression:  -91.64/-98.21*-21.08,(A)-34.4,(B)-47.4,(C)-01.9,(D)-19.6,-19.6,(D)
What will be the correct answer for the folowing expression:  -88.29+54.47,(A)-44.9,(B)-33.8,(C)-58.7,(D)-60.4,-33.8,(B)
What will be the correct answer for the folowing expression:  10.02+18.06/-45.62,(A)9.62,(B)2.48,(C)2.11,(D)4.57,9.62,(A)
What will be the correct answer for the folowing expression:  3.24/83.94+-82.86*51.51,(A)-2793.3,(B)-4268.0,(C)-2529.4,(D)-2532.4,-4268.0,(B)
What will be the correct answer for the folowing expression:  (-41.78-80.25)/-28.23/84.99*4.21,(A)9.73,(B)1.45,(C)0.21,(D)8.11,0.21,(C)
What will be the correct answer for the folowing expression:  (60.15*61.88+-44.92)**(-69.19-14.15),(A)3.,(B)0.,(C)7.,(D)8.,0.,(B)
What will be the correct answer for the folowing expression:  58.27*1.74/99.21,(A)5.36,(B)1.02,(C)5.26,(D)6.43,1.02,(B)
What will be the correct answer for the folowing expression:  ((-5)*10-6**(-7))/(4*3-(-9)-6),(A)-8.68,(B)-0.06,(C)-7.14,(D)-3.33,-3.33,(D)
What will be the correct answer for the folowing expression:  ceil(5*9+8-(-7)+(-5)/3),(A)52,(B)59,(C)70,(D)54,59,(B)
What will be the correct answer for the folowing expression:  7*(-9)-ceil((-5)*0),(A)-63,(B)-75,(C)-71,(D)-62,-63,(A)
What will be the correct answer for the folowing expression:  (-6)/(-6),(A)7.,(B)1.,(C)4.,(D)2.,1.,(B)
What will be the correct answer for the folowing expression:  -8/(ceil((-4)+(-7)))*(-3),(A)-1.93,(B)-2.18,(C)-3.07,(D)-3.44,-2.18,(B)
What will be the correct answer for the folowing expression:  floor(5-7*9+(7+(-2))*(10+(-9))),(A)-12,(B)-56,(C)-45,(D)-53,-53,(D)
What will be the correct answer for the folowing expression:  floor((-6)-(-9)/9),(A)-5,(B)-2,(C)-9,(D)-1,-5,(A)
What will be the correct answer for the folowing expression:  5/(-8)*(floor((-9)/8)*(-2)/(-4)),(A)6.48,(B)8.78,(C)1.53,(D)0.62,0.62,(D)
What will be the correct answer for the folowing expression:  ceil(((-7)-1+5)*(-8)*8*0),(A)7,(B)0,(C)6,(D)8,0,(B)
What will be the correct answer for the folowing expression:  floor((-1)/(-3)+8/8+(-9)+4-4),(A)-5,(B)-6,(C)-8,(D)-2,-8,(C)
What will be the correct answer for the folowing expression:  4/(5+4)+(((-3))-8)**(((-3))-7),(A)8.65,(B)0.44,(C)0.32,(D)1.97,0.44,(B)
What will be the correct answer for the folowing expression:  ((-7)+5)/((-5))/ceil(((-5))/(-10)),(A)8.,(B)9.,(C)6.,(D)0.,0.,(D)
What will be the correct answer for the folowing expression:  ceil(5*(-9)-7)-((-5)-1)/(-9),(A)-52.66,(B)-15.00,(C)-43.34,(D)-05.48,-52.66,(A)
What will be the correct answer for the folowing expression:  ceil((-7)/(-1)/4*((-6)-(-8)*(-6))),(A)-94,(B)-49,(C)-25,(D)-41,-94,(A)
What will be the correct answer for the folowing expression:  (7-3-(-8)/(-9))*(1/9-3*(-5)),(A)30.81,(B)84.91,(C)89.96,(D)47.01,47.01,(D)
What will be the correct answer for the folowing expression:  3**((-2)-(-8)),(A)465,(B)040,(C)729,(D)648,729,(C)
What will be the correct answer for the folowing expression:  -8+8+6-(-1)-0+6,(A)26,(B)34,(C)39,(D)13,13,(D)
What will be the correct answer for the folowing expression:  ceil((4-(-4))*(-9)/(-7)),(A)57,(B)15,(C)87,(D)11,11,(D)
What will be the correct answer for the folowing expression:  6**(-2)*8*(-8)*((-10)-6),(A)04.82,(B)70.41,(C)36.82,(D)28.44,28.44,(D)
What will be the correct answer for the folowing expression:  ceil(8/((-4)+9))+(-3)+5,(A)0,(B)4,(C)2,(D)7,4,(B)
What will be the correct answer for the folowing expression:  floor(((-1))/6+2+(-1)+6),(A)3,(B)4,(C)6,(D)2,6,(C)
What will be the correct answer for the folowing expression:  floor((-5)/5/(2-3)+(-2)+3/10),(A)-7,(B)-2,(C)-1,(D)-6,-1,(C)
What will be the correct answer for the folowing expression:  2+ceil(9+8)-(-3),(A)82,(B)22,(C)11,(D)76,22,(B)
What will be the correct answer for the folowing expression:  (4-(-6)-(-5)*(-1))/(-7)/9*ceil((-1)*1),(A)1.38,(B)8.11,(C)0.68,(D)0.07,0.07,(D)
What will be the correct answer for the folowing expression:  floor(0-5-(-10)-(-3)),(A)8,(B)4,(C)5,(D)2,8,(A)
What will be the correct answer for the folowing expression:  1+(-1)/(-7)+6**3,(A)578.27,(B)217.14,(C)544.89,(D)887.61,217.14,(B)
What will be the correct answer for the folowing expression:  (2+(-10))**(2-2)*(-8)-1-3,(A)-75,(B)-17,(C)-12,(D)-34,-12,(C)
What will be the correct answer for the folowing expression:  floor(10-(-6)+5)*(-7)*(-6)-10+5,(A)939,(B)292,(C)599,(D)877,877,(D)
What will be the correct answer for the folowing expression:  (8+(-4))/(3**(-9)-(-8)),(A)2.,(B)5.,(C)7.,(D)0.,0.,(D)
What will be the correct answer for the folowing expression:  ((-8)-13**5.4)/((-20)+4.7)*((-15.4)+(-19)),(A)-0255076.00,(B)-8732610.31,(C)-2328973.07,(D)-2150336.25,-2328973.07,(C)
What will be the correct answer for the folowing expression:  3/1+14*(-4.6)+(-7)+(-9.1),(A)-38.,(B)-81.,(C)-77.,(D)-75.,-77.,(C)
What will be the correct answer for the folowing expression:  ((-2.6)**10+(-3)-(-18))/(-7.8),(A)-7398.11,(B)-6205.80,(C)-1811.75,(D)-7640.25,-1811.75,(C)
What will be the correct answer for the folowing expression:  -13*(-16.1)+9.4-((-1.7)-(-10))*(-11.3),(A)425.5,(B)312.4,(C)581.1,(D)428.8,312.4,(B)
What will be the correct answer for the folowing expression:  (5.5+(-12))/(ceil(18-8)-(-7)-15.1),(A)-0.04,(B)-3.42,(C)-8.35,(D)-5.53,-3.42,(B)
